Gender,Age,Occupation,Salary,System,Gaming,Social_Media,Entertainment,Photo_Video,New_smartphone_choice,Reason,,,,,,
Female,21-25 yrs,Private_sector,"40,001-50,000 Baht",IOS,Often,Most Often,Moderate,Quite less,Iphone,ดูรวยดีย์,,,,,,
Male,26-30 yrs,Private_sector,"30,001-40,000 Baht",IOS,Quite less,Most Often,Moderate,Moderate,Iphone,ความเสถียร,,,,,,
Male,31-35 yrs,Private_sector,"40,001-50,000 Baht",IOS,Least,Moderate,Moderate,Least,Iphone,คุ้นเคยกับ Brand เดิม,,,,,,
Male,21-25 yrs,Private_sector,"30,001-40,000 Baht",IOS,Least,Moderate,Moderate,Least,Iphone,ง่ายต่อการใช้งาน,,,,,,
Male,21-25 yrs,unemployed,"less than 20,000 Baht",IOS,Moderate,Often,Quite less,Quite less,Iphone,ดี ทน,,,,,,
Female,21-25 yrs,Private_sector,"30,001-40,000 Baht",IOS,Least,Most Often,Most Often,Often,Iphone,ความเสถียร และความปลอดภัย,,,,,,
Female,21-25 yrs,Private_sector,"20,001-30,000 Baht",IOS,Least,Most Often,Moderate,Often,Iphone,ชอบ,,,,,,
Male,21-25 yrs,Private_sector,"40,001-50,000 Baht",IOS,Least,Most Often,Most Often,Moderate,Iphone,ความสวยงาม UI ทันสมัย กล้องดี,,,,,,
Female,31-35 yrs,Private_sector,"30,001-40,000 Baht",Android,Often,Most Often,Often,Often,Samsung,กล้อง รูปลักษณ์​,,,,,,
Female,21-25 yrs,Private_sector,"20,001-30,000 Baht",IOS,Moderate,Often,Often,Moderate,Iphone,ความเคยชิน,,,,,,
Male,26-30 yrs,Private_sector,"40,001-50,000 Baht",IOS,Most Often,Most Often,Often,Moderate,Iphone,คุ้นเคยกับระบบที่ใช้,,,,,,
Female,26-30 yrs,Student,"less than 20,000 Baht",IOS,Quite less,Most Often,Often,Often,Iphone,ชอบและเคยชินกับระบบ,,,,,,
Male,26-30 yrs,Private_sector,"more  than 60,000 Baht",IOS,Often,Most Often,Moderate,Least,Iphone,Seamless transfer,,,,,,
Female,26-30 yrs,Private_sector,"30,001-40,000 Baht",IOS,Least,Most Often,Most Often,Most Often,Iphone,ใช้ได้นาน ค่าซ่อมถูก,,,,,,
Male,26-30 yrs,Private_sector,"20,001-30,000 Baht",IOS,Often,Most Often,Often,Moderate,Iphone,Brand royalty,,,,,,
Female,21-25 yrs,Private_sector,"less than 20,000 Baht",IOS,Least,Most Often,Often,Often,Iphone,คุ้นชินในระบบปฏิบัติการแล้ว,,,,,,
